group_no,centric_point_long,centric_point_lat
0,128.57928333333334,35.868947222222225
1,128.58178611111111,35.869083333333336
2,128.5791675925926,35.86897314814814
3,128.58118796296296,35.86902870370371
4,128.5817722222222,35.86866111111111
5,128.5794222222222,35.869011111111114
6,128.57901599972223,35.869016199722225
7,128.57925130555554,35.86897505972222
8,128.57962268518517,35.86904120370371
9,128.58119791666667,35.86951979166667
10,128.58173514123015,35.86984786027777
11,128.58021555555555,35.86912388888889
12,128.58025092592592,35.86978796296296
13,128.58214305555555,35.86926527777778
14,128.58003333333332,35.869236111111114
15,128.58093796296293,35.869135185185186
16,128.5799722222222,35.86868333333334
17,128.58236666666667,35.869083333333336
18,128.58157103472223,35.86863309302083
19,128.5817722222222,35.86864722222222
20,128.57899346648148,35.86901233314814
21,128.57895694444443,35.86889166666667
22,128.58090277777777,35.869791666666664
23,128.58120969972222,35.8687289
24,128.58140555555556,35.86858333333333
25,128.58155833333333,35.869144444444444
26,128.58119645537036,35.86914931092593
27,128.58203055555555,35.869861111111106
28,128.580981,35.8687309
29,128.57949722222222,35.86920555555555
30,128.57945277777776,35.86942222222222
31,128.582,35.869236111111114
32,128.57983333333334,35.86904305555556
33,128.73594722222222,35.821872222222225
34,128.5822,35.86909166666667
35,128.60949239972223,35.881769499722225
36,128.73580833333332,35.822922222222225
37,128.5813512,35.8688975
38,128.7359,35.822075000000005
39,128.57945277777776,35.869708333333335
40,128.58184801388887,35.869207069375
41,128.58143509972223,35.869126299722225
42,128.5812388888889,35.868836111111115
43,128.58180277777777,35.868766666666666
44,128.57933055555554,35.86965555555555
45,128.5794361111111,35.869566666666664
46,128.73579444444442,35.82276111111111
47,128.58161944444444,35.869683333333334
48,128.709175,35.836873611111116
49,128.580075,35.869034722222224
50,128.5794222222222,35.86984722222222
51,128.73585555555553,35.82256666666667
52,128.58028579999998,35.868961599722226
53,128.58094722222222,35.86895
54,128.57944555555557,35.86958333333333
55,128.58062777777778,35.86905
56,128.7096361111111,35.837405555555556
57,128.57912638666664,35.86898624222222
58,128.57889509999998,35.86903279972222
59,128.73609444444443,35.820434259259265
60,128.70956388888888,35.838230555555555
61,128.58071944444444,35.86977777777778
62,128.58201111111111,35.86925648148148
63,128.58038796296296,35.86911388888888
64,128.5801847222222,35.86900416666667
65,128.73596944444444,35.82156944444445
66,128.57947957770833,35.86922593604167
67,128.57946666666666,35.86936111111111
68,128.58191596918803,35.86864281709402
69,128.57946309523808,35.869038492063495
70,128.5807026074074,35.86871377777778
71,128.7359,35.82197222222223
72,128.58120201111112,35.86950088888889
73,128.5790455,35.8686172
74,128.5821388888889,35.86982777777778
75,128.5800892,35.8687374
76,128.58023055555554,35.86870277777778
77,128.5809246,35.868740199722225
78,128.58210833333334,35.868544444444446
79,128.58117777777778,35.86909444444444
80,128.73583888888888,35.82265833333334
81,128.73573333333331,35.82256666666667
82,128.58091666666667,35.8691375
83,128.57989742655553,35.868722517722226
84,128.5795537037037,35.86884629629629
85,128.57981435185184,35.868975
86,128.57987962962963,35.86847083333333
87,128.58035763333334,35.868636816666665
88,128.5802185,35.86887839972222
89,128.73570277777776,35.82325
90,128.70948888888887,35.8378
91,128.58196424439814,35.86981229625
92,128.57940555555555,35.86839027777778
93,128.70944166666666,35.83766666666667
94,128.58154166666665,35.86863611111111
95,128.5795501,35.8694325
96,128.57878055555554,35.868380555555554
97,128.58001666666667,35.86895833333333
98,128.73605277777776,35.820705555555556
99,128.73600833333333,35.82143240740741
100,128.58168277777776,35.86864055555556
101,128.73609166666665,35.81998472222222
102,128.6093012,35.88136
103,128.7360833333333,35.82020277777778
104,128.57941010541666,35.86862877777778
105,128.73594722222222,35.82016388888889
106,128.57893333333334,35.86844166666667
107,128.57923888888888,35.86839166666667
108,128.58010833333333,35.86911388888889
109,128.73593055555554,35.82185833333334
110,128.58021666666667,35.86913611111111
111,128.57902986111108,35.86830416666667
112,128.735625,35.82037777777778
113,128.58117777777778,35.86994444444444
114,128.579225,35.86848888888889
115,128.7360833333333,35.82110277777778
116,128.57966809972223,35.8686694
117,128.58036666666666,35.86974444444444
118,128.58218148148148,35.86924398148148
119,128.58216843604168,35.86907840277778
120,128.73590833333333,35.82088055555556
121,128.60949239972223,35.881769499722225
122,128.58221388888887,35.86892777777778
123,128.73591666666664,35.82189166666667
124,128.58208055555554,35.86857839506173
125,128.578125,35.86835
126,128.57985357555555,35.86865100666667
127,128.70932083333332,35.83726111111111
128,128.57969722222222,35.86846111111111
129,128.57900219972223,35.86859439972222
130,128.73548888888888,35.82295555555556
131,128.60956489999998,35.8820004
132,128.5816875,35.86864166666666
133,128.7359,35.82210277777778
134,128.58168055555555,35.86985
135,128.58021666666667,35.869769444444444
136,128.58175555555556,35.86856111111111
137,128.73603888888888,35.82005277777778
138,128.58175555555556,35.86923055555556
139,128.73603888888888,35.820769444444444
140,128.73585555555553,35.82256666666667
141,128.6093012,35.88136
142,128.58042777777777,35.86975
143,128.58207777777778,35.86952222222222
144,128.57948333333334,35.869055555555555
145,128.60970219972222,35.88231389972222
146,128.58128333333332,35.868769444444446
147,128.57965,35.868972222222226
148,128.58081805555554,35.86913333333333
149,128.57895,35.86900833333333
150,128.5793859,35.8689539
151,128.73577777777777,35.82285277777778
152,128.70953333333333,35.83815
153,128.70945833333332,35.83773888888889
154,128.7359,35.82199166666667
155,128.73603888888888,35.82119444444445
156,128.58187777777778,35.86978888888889
157,128.5821388888889,35.86986111111111
158,128.58193888888889,35.86984722222222
159,128.58158055555555,35.86925138888889
160,128.58195555555554,35.869147222222225
161,128.58179599986113,35.869239
162,128.5820611111111,35.86888888888889
163,128.58241388888888,35.86911666666667
164,128.57975833333333,35.86890833333334
165,128.57893333333334,35.86844166666667
166,128.73576388888887,35.82273055555556
167,128.60949239972223,35.881769499722225
168,128.58204722222223,35.869233333333334
169,128.57975833333333,35.86870277777778
170,128.58096839972222,35.869148799722225
171,128.58209166666666,35.86870555555556
172,128.58204583333332,35.868497222222224
173,128.70929027777777,35.8370875
174,128.7356722222222,35.820347222222225
175,128.7093972222222,35.83742777777778
176,128.73597777777778,35.821738888888895
177,128.7360222222222,35.820705555555556
178,128.60969739972222,35.8823518
179,128.57944444444445,35.86949583333333
180,128.7356861111111,35.82331388888889
181,128.7360833333333,35.82059166666667
182,128.57944444444445,35.86865972222222
183,128.5793,35.86861666666667
184,128.7361,35.820033333333335
185,128.73586944444443,35.82219722222222
186,128.58222939972222,35.869041799722226
187,128.58178611111111,35.86852777777778
188,128.57945277777776,35.869502777777775
189,128.579575,35.86872777777778
190,128.5798027777778,35.868605555555554
191,128.5812942,35.8686109
192,128.58140555555556,35.86867222222222
193,128.58160416666666,35.86861944444445
194,128.58206944444444,35.86845972222223
195,128.58181666666667,35.868655555555556
196,128.5793375,35.86862361111111
197,128.73603888888888,35.82050277777778
198,128.60949199972222,35.881851599722225
199,128.70930555555555,35.83712777777778
200,128.58181666666667,35.868652777777775
201,128.58210833333334,35.86844722222222
202,128.57960349972223,35.8686743
203,128.57893333333334,35.86835833333333
204,128.58044444444445,35.86857222222222
205,128.58055,35.86851111111111
206,128.57952777777777,35.86943333333333
207,128.58119166666665,35.86878611111111
208,128.57978888888888,35.86897777777778
209,128.5814324074074,35.868625
210,128.73606944444444,35.82010555555556
211,128.58193119999999,35.8686554
212,128.5817722222222,35.868634722222225
213,128.58161944444444,35.86864444444444
214,128.5795138888889,35.86918888888889
215,128.57961944444443,35.86859166666667
216,128.57813888888887,35.86834722222222
217,128.73600694444443,35.82150416666667
218,128.73579444444442,35.82288333333334
219,128.73595416666666,35.821759722222225
220,128.5815888888889,35.86863611111111
221,128.57899269972222,35.8685769
222,128.5785361111111,35.86834722222222
223,128.73588611111109,35.82210555555556
224,128.5796361111111,35.86881666666667
225,128.5795138888889,35.86904166666667
226,128.58119166666665,35.869166666666665
227,128.5794889,35.8683703
228,128.58074469972223,35.86873789972222
229,128.57982188875002,35.86865616111111
230,128.5819472222222,35.868626388888885
231,128.57916296296295,35.86892592592593
232,128.57939166666665,35.868981481481484
233,128.57999444444442,35.868945833333335
234,128.5802,35.86901944444445
235,128.580125,35.86893333333333
236,128.579025,35.869011111111114
237,128.58161944444444,35.868722222222225
238,128.5795361111111,35.869081944444446
239,128.5815111111111,35.869255555555554
240,128.5811611111111,35.869058333333335
241,128.58178611111111,35.86866666666667
242,128.58131388888887,35.86871388888889
243,128.58119166666665,35.86942777777778
244,128.5815722222222,35.86858333333333
245,128.58145277777777,35.868605555555554
246,128.5802,35.869791666666664
247,128.58208263333333,35.868747588888894
248,128.58207777777778,35.86924722222222
249,128.58208965833333,35.868743961111115
250,128.5815111111111,35.86864166666667
251,128.57901599972223,35.869016199722225
252,128.5810342997222,35.86918539972222
253,128.5812388888889,35.869575
254,128.5796361111111,35.868988888888886
255,128.57940555555555,35.868991666666666
256,128.6095483,35.88195269972222
257,128.5815722222222,35.86867222222222
258,128.58163333333334,35.86861388888889
259,128.5795483498611,35.86904521097222
260,128.58216944444445,35.86928888888889
261,128.57939861111112,35.86901944444445
262,128.57958888888888,35.86900833333333
263,128.5821222222222,35.86918611111111
264,128.5812222222222,35.86971944444444
265,128.58120833333334,35.86918611111111
266,128.58094549999998,35.869156699722225
267,128.58062777777778,35.86913611111111
268,128.5801402777778,35.869683333333334
269,128.58203055555555,35.86924444444445
270,128.57984009999998,35.8686967
271,128.58221388888887,35.8691
272,128.57948333333334,35.86926666666667
273,128.58044799972222,35.8691034
274,128.60969779972223,35.8823006
275,128.58156529972223,35.8698131
276,128.58015555555556,35.869883333333334
277,128.5799633,35.8698349
278,128.57977777777776,35.86887407407407
279,128.57977222222223,35.86883888888889
280,128.70944166666666,35.839019444444446
281,128.58142222222222,35.86987222222222
282,128.58116498319444,35.86977056097223
283,128.57885833333333,35.86863611111111
284,128.5821152997222,35.8694806
285,128.57962083333334,35.868808333333334
286,128.58175694444444,35.86867222222222
287,128.58013833333334,35.86974306287036
288,128.58033079999998,35.868974299722225
289,128.58161944444444,35.86888611111111
290,128.57978888888888,35.86892777777778
291,128.58219529972223,35.869336599722224
292,128.5801101277778,35.86874186097222
293,128.58032109972223,35.869831599722225
294,128.57890119972222,35.867844499722224
295,128.58112729972223,35.8691997
296,128.58163333333334,35.868655555555556
297,128.58030833333333,35.868722222222225
298,128.57844444444444,35.86845
299,128.58186388888888,35.869125000000004
300,128.5821388888889,35.870016666666665
301,128.5794361111111,35.869197222222226
302,128.7096111111111,35.838347222222225
303,128.73576388888887,35.82035833333334
304,128.57928333333334,35.868625
305,128.580125,35.869030555555554
306,128.58182298333332,35.86916727777778
307,128.58102499999998,35.86900277777778
308,128.71014305555553,35.837313888888886
309,128.58204509972222,35.8686367
310,128.7358625,35.8224
311,128.5803222222222,35.868611111111115
312,128.73579444444442,35.82297777777778
313,128.73571666666666,35.82308888888889
314,128.58131388888887,35.86872777777778
315,128.70950277777777,35.83743333333334
316,128.58119166666665,35.86951944444444
317,128.57981944444444,35.86905
318,128.5806722222222,35.869769444444444
319,128.71005277777778,35.83731944444445
320,128.73599166666665,35.82086666666667
321,128.58186388888888,35.869166666666665
322,128.58126944444444,35.869566666666664
323,128.70915277777777,35.83683333333334
324,128.57952777777777,35.869625
325,128.73586944444443,35.82212777777778
326,128.57904166666665,35.868988888888886
327,128.7359611111111,35.821827777777784
328,128.5802611111111,35.869347222222224
329,128.58021666666667,35.86882777777778
330,128.57884759972222,35.86809889972222
331,128.5795793,35.8692222
332,128.57954444444445,35.86913055555556
333,128.73603888888888,35.82120555555556
334,128.57917777777777,35.86896111111111
335,128.5794361111111,35.869819444444445
336,128.57940555555555,35.868994444444446
337,128.58210833333334,35.86851388888889
338,128.58035277777776,35.8697
339,128.58148055555554,35.869255555555554
340,128.58126944444444,35.86935833333333
341,128.57966666666667,35.868830555555554
342,128.58133055555555,35.869147222222225
343,128.58027777777778,35.8697
344,128.58143611111112,35.869236111111114
345,128.5814966,35.8691217
346,128.5807638888889,35.86918888888889
347,128.57920833333333,35.868941666666665
348,128.73591666666664,35.82192222222223
349,128.57965,35.86866388888889
350,128.57956666666666,35.869034722222224
351,128.5794361111111,35.869033333333334
352,128.58181666666667,35.86986111111111
353,128.57870555555556,35.86839166666667
354,128.57952777777777,35.869147222222225
355,128.580125,35.86870833333333
356,128.5798027777778,35.868747222222225
357,128.57882777777778,35.86847222222222
358,128.58133055555555,35.869255555555554
359,128.5801457,35.868716399722224
360,128.57985,35.868769444444446
361,128.57948333333334,35.869225
362,128.57949722222222,35.869395833333336
363,128.58023055555554,35.86980555555556
364,128.58132119972223,35.86916289972222
365,128.73597777777778,35.821602777777784
366,128.60957829999998,35.8820058
367,128.58112299972223,35.8697949
368,128.5822,35.86989166666667
369,128.58178611111111,35.869144444444444
370,128.58216944444445,35.86986111111111
371,128.5813611111111,35.868586111111114
372,128.5794361111111,35.86961388888889
373,128.7359611111111,35.821725
374,128.58204722222223,35.86873888888889
375,128.57927549972223,35.8686282
376,128.58206944444444,35.86987638888889
377,128.5799722222222,35.86888611111111
378,128.58215277777776,35.870022222222225
379,128.58174166666666,35.86868333333334
380,128.5818179997222,35.869802499722226
381,128.5815888888889,35.8699
382,128.58117777777778,35.86994444444444
383,128.58113055555555,35.86915555555556
384,128.58140555555556,35.86975555555556
385,128.58113055555555,35.870105555555554
386,128.5788439,35.8684372
387,128.5799321,35.8690434
388,128.57845,35.86840462962963
389,128.58132222222224,35.86888888888889
390,128.58190833333333,35.86881388888889
391,128.58201666666668,35.86878333333333
392,128.5788837,35.869038
393,128.57900219972223,35.86859439972222
394,128.57955833333332,35.868855555555555
395,128.58045709972222,35.8688999
396,128.57850555555555,35.86833888888889
397,128.70999166666667,35.83733055555556
398,128.57958859972223,35.869252799722226
399,128.5790776,35.86868809972222
400,128.7361,35.82087777777778
401,128.57949722222222,35.86867222222222
402,128.58221388888887,35.86898333333333
403,128.5821611111111,35.86918472222222
404,128.58214583333333,35.86906944444444
405,128.5801457,35.868716399722224
406,128.58204722222223,35.86852777777778
407,128.58223055555555,35.869083333333336
408,128.58139166666666,35.86923888888889
409,128.58187777777778,35.86985
410,128.58175555555556,35.86913611111111
411,128.5818591,35.8692725
412,128.58148055555554,35.868625
413,128.57978888888888,35.86975833333334
